LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2005,49335411.51,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2006,51724575.31,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2007,54279353.6,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2008,55555641.61,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2009,54942707.89,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2010,57674147.86,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2011,59879891.1,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2012,61665771.43,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2013,63408258.96,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2014,65544340.43,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2015,68077321.22,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2016,70750530.66,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2017,73424803.06,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2018,76088241.07,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2019,78758106.67,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2020,81452489.94,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2021,84182317.41,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2022,86954887.95,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2023,89774907.05,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2024,92645669.84,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2025,95570319.4,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2026,98551380.51,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2027,101592045.1,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2028,104694020.2,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2029,107855646.3,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2030,111074203.2,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2031,114349865,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2032,117683606.5,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2033,121075125.2,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2034,124520756.9,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2035,128015626.9,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2036,131552360.3,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2037,135124485.7,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2038,138723278.2,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2039,142338984.1,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2040,145962169.9,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2041,149584592.5,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2042,153203582,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2043,156817410,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2044,160426667.4,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2045,164034207.4,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2046,167644197.9,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2047,171265055.9,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2048,174904993.2,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2049,178572002.5,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2050,182273170.9,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2051,186013751,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2052,189799634.9,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2053,193632574.4,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2054,197509456.5,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2055,201423864.8,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2056,205366945,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2057,209329612.8,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2058,213301395.1,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2059,217272061,
WLD,GDPLTFORECAST,TOT,MLN_USD,A,2060,221232567.2,
