Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
ASIA,RCP6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,1.768,2.608,2.923,3.358,4.185,5.345,6.452,7.604,8.438,8.82,7.203,6.617,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
ASIA,RCP4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,1.768,2.608,3.151,4.237,5.184,5.725,5.86,4.954,3.621,1.859,1.945,1.95,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
ASIA,RCP2.6,CO2 emissions - Fossil fuels and Industry,PgC/yr,1.768,2.608,3.285,4.016,3.289,2.174,1.404,0.409,-0.11,-0.333,-0.501,-0.303,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
ASIA,RCP8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,1.768,2.608,3.32,4.544,5.237,6.49,7.928,9.312,10.226,10.569,11.069,10.981,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
LAM,RCP6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.371,0.412,0.422,0.406,0.438,0.555,0.641,0.761,0.883,0.989,0.633,0.658,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
LAM,RCP4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.371,0.412,0.435,0.481,0.521,0.558,0.594,0.574,0.517,0.421,0.441,0.442,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
LAM,RCP2.6,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.371,0.412,0.46,0.493,0.393,0.343,0.334,0.233,0.128,0.057,-0.002,-0.061,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
LAM,RCP8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.371,0.412,0.395,0.5,0.639,0.912,1.25,1.602,1.87,1.722,1.508,1.433,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
MAF,RCP6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.581,0.71,0.775,0.897,1.16,1.462,1.836,2.348,2.947,3.291,2.958,3.337,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
MAF,RCP4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.581,0.71,0.836,1.078,1.241,1.33,1.349,1.212,0.984,0.664,0.666,0.667,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
MAF,RCP2.6,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.581,0.71,0.758,0.802,0.691,0.618,0.592,0.549,0.434,0.292,0.162,0.045,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
